X,Y,name,network,category,denomination,website,awards,icon_size2,year_begun,registration,,first_award,award1,award2,award3,award4
357109,734754,Carnoustie Baptist Church,Angus,protestant - independent,Baptist,http://www.carnoustiepanbride.co.uk,0,1,2012,17/09/2012,,,,,,
350477.6,614926.268,Hawick Baptist Church,Scottish Borders,protestant - independent,Baptist,http://www.hawickbaptist.org.uk,0,1,2009,01/06/2009,,,,,,
257916,662462,Queen’s Park Baptist Church,Glasgow,protestant - independent,Baptist,http://www.qpbc.org/,0,1,2007,09/05/2007,,2009,24/11/2009,,,
389846.5356,806526.1328,Sheddocksley Baptist Church,Aberdeen City,protestant - independent,Baptist,http://www.sheddweb.org.uk/,0,1,2005,24/11/2005,,,,,,
388653.4008,802623.8544,Cults Parish Church,Aberdeen City,protestant - reformed,C of S,http://www.cultsparishchurch.co.uk,2,2,2005,30/05/2005,,2010,20/06/2010,14/05/2014,,
387017,785783,Stonehaven South Parish Church,Aberdeenshire,protestant - reformed,C of S,http://www.stonehavensouthchurch.co.uk/htmlpage1.html,1,1.5,2006,03/07/2006,,2011,20/03/2011,,,
364221.9857,741351.4544,"St Andrew’s Parish Church, Arbroath",Angus,protestant - reformed,C of S,www.arbroathstandrews.org.uk,1,1.5,2008,06/03/2008,,,,,,
286665.4538,584335.2076,Dunscore Parish Church,Dumfries and Galloway,protestant - reformed,C of S,http://www.dunscorechurch.co.uk,3,2.5,2004,17/06/2004,,2005,13/03/2005,,,
366870.0402,678747.6915,Belhaven Parish Church,East Lothian,protestant - reformed,C of S,http://www.belhavenparishchurch.org.uk,1,1.5,2003,24/11/2003,,2005,10/04/2005,15/05/2008,12/03/2012,
328424,672658,Duddingston Kirk,Edinburgh,protestant - reformed,C of S,http://www.duddingstonkirk.co.uk/,0,1,2014,26/02/2014,,,,,,
325693,673266,Greyfriars Tollbooth and Highland Kirk,Edinburgh,protestant - reformed,C of S,http://www.greyfriarskirk.com/,0,1,2009,20/07/2009,,,,,,
323093.9789,672327.4239,Gorgie Dalry Parish Church,Edinburgh,protestant - reformed,C of S,http://www.gorgiedalrychurch.org.uk,1,1.5,2002,01/07/2002,,,,,,
326907.8658,676062.9474,South Leith Parish Church,Edinburgh,protestant - reformed,C of S,http://www.slpc.co.uk,1,1.5,2006,08/09/2006,,2008,16/12/2008,10/10/2012,,
319019.2738,673060.3648,Craigsbank Parish Church,Edinburgh,protestant - reformed,C of S,http://www.craigsbankchurch.org.uk,2,2,2005,05/02/2005,,2006,16/09/2006,13/05/2015,,
324036,672209,Polwarth Parish Church,Edinburgh,protestant - reformed,C of S,http://www.polwarth.org.uk/Site/Home.html,0,1,2008,29/07/2008,,,,,,
318972.0575,676841.7789,Cramond Kirk,Edinburgh,protestant - reformed,C of S,www.cramondkirk.org.uk,1,1.5,2002,01/04/2002,,,,,,
316252.846,666512.5957,Balerno Parish Church,Edinburgh,protestant - reformed,C of S,http://www.balernochurch.org.uk,1,1.5,2010,22/03/2010,,,,,,
325428.9919,674090.0621,St Andrew's and St Georges West Church,Edinburgh,protestant - reformed,C of S,http://www.stagw.org.uk,2,2,2005,n/a,,2005,Nov-05,17/06/2015,,
324539.0474,676867.3475,Wardie Parish Church,Edinburgh,protestant - reformed,C of S,http://www.wardie.org.uk,2,2,2005,10/02/2005,,2007,29/04/2007,,,
324846,668260,Fairmilehead Parish Church,Edinburgh,protestant - reformed,C of S,http://www.fhpc.org.uk/,0,1,2007,02/10/2007,,2011,27/09/2011,,,
326582,671790,Mayfield Salisbury Parish Church,Edinburgh,protestant - reformed,C of S,http://www.mayfieldsalisbury.org/,0,1,2008,17/03/2008,,,,,,
315522.7865,683651.274,Dalgety Parish Church,Fife,protestant - reformed,C of S,http://www.dalgety-church.org.uk/index.htm,2,2,2006,30/03/2006,,2009,14/06/2009,,,
257003.3314,666733.52,Wellington Church,Glasgow,protestant - reformed,C of S,http://wc.thischurch.org,2,2,2001,31/05/2001,,2004,06/08/2004,,,
271904.5652,846114.4352,Barn Church Culloden,Highland,protestant - reformed,C of S,http://www.barnchurch.org.uk/,0,1,2014,10/04/2014,,,,,,
258102.4578,661352.9503,Langside Parish Church,Glasgow,protestant - reformed,C of S,http://www.langsidechurch.org,2,2,2004,13/12/2004,,2005,13/11/2005,,,
267427.3829,843620.0736,Hilton Church,Highland,protestant - reformed,C of S,http://hiltonchurch.org.uk,0,1,2014,13/02/2014,,,,,,
250894.1302,852438.0592,Kilchrist and Urray West Church of Scotland,Highland,protestant - reformed,C of S,,0,1,2011,24/02/2011,,,,,,
314448,869335,Hopeman Parish Church,Moray,protestant - reformed,C of S,http://www.duffusparish.co.uk/,1,1.5,2010,12/03/2010,,2013,19/12/2013,,,
321223,862692,Spynie,Moray,protestant - reformed,C of S,http://www.duffusparish.co.uk/,1,1.5,2012,14/03/2012,,2014,26/02/2014,,,
316957,868625,Duffus,Moray,protestant - reformed,C of S,http://www.duffusparish.co.uk/,1,1.5,2005,17/05/2005,,2013,04/11/2013,,,
220997.5231,655589.2897,Fairlie Parish Church,North Ayrshire,protestant - reformed,C of S,http://www.fairlieparish.co.uk,3,2.5,2003,29/07/2003,,2004,13/09/2004,07/06/2009,,
345282.2094,1010702.053,Kirkwall East Church,Orkney Islands,protestant - reformed,C of S,http://www.orkneycommunities.co.uk/kirkwalleastchurch/,3,2.5,2002,01/09/2002,,2004,12/11/2004,25/06/2012,,
349344.8977,1053019.497,"St. Ann's, Papa Westray",Orkney Islands,protestant - reformed,C of S,,4,3,2004,29/06/2004,,2006,15/01/2006,,,
345691,1046915,Westray Church,Orkney Islands,protestant - reformed,C of S,,4,3,2004,08/06/2004,,2006,22/01/2006,,,
347245.4,628666.2,Selkirk Parish Church,Scottish Borders,protestant - reformed,C of S,http://dbethune.com/selkirkchurches/?page_id=5,0,1,2015,25/03/2015,,,,,,
316092.4156,655903.4587,Carlops & West Linton Parish Church,Scottish Borders,protestant - reformed,C of S,http://carlopschurch.org,3,2.5,2005,21/04/2005,,2006,27/01/2006,21/11/2010,,
262951.9211,707765.5366,Callander Kirk,Stirling,protestant - reformed,C of S,http://www.callanderkirk.org.uk,1,1.5,2002,01/04/2002,,2004,05/12/2004,15/07/2008,09/12/2011,
279428,692970,"St Columba's Church, Stirling",Stirling,protestant - reformed,C of S,https://web.archive.org/web/20110930141222/http://www.stcolumbasstirling.org.uk/,1,1.5,2005,10/02/2005,,,,,,
300197.8226,677184.6838,St Michael's Church Linlithgow,West Lothian,protestant - reformed,C of S,http://www.stmichaelsparish.org.uk,1,1.5,2006,18/07/2006,,,,,,
355151.9861,685286.4287,Abbey Church,East Lothian,protestant - reformed,C of S,http://www.abbeychurch.co.uk/,0,1,2005,12/02/2005,,2008,19/11/2008,,,
392345,807986,Aberdeen High Hilton,Aberdeen City,protestant - reformed,C of S,,0,1,,,,,,,,
318979.1912,716382.3252,Abernethy & Dron Parish Church,Perth & Kinross,protestant - reformed,C of S,http://www.abernethydronarngaskchurch.org.uk,0,1,2005,20/10/2005,,2007,02/08/2007,,,
281035.4632,690339.8027,"Allan Church, Bannockburn",Stirling,protestant - reformed,C of S,http://www.allanchurch.org.uk/,0,1,2013,15/04/2013,,,,,,
233241.9445,618020.3994,Alloway Parish Church,South Ayrshire,protestant - reformed,C of S,http://www.allowaychurch.org/,0,1,2013,02/04/2013,,,,,,
324334.2408,748741.1704,Alyth Parish Church,Perth & Kinross,protestant - reformed,C of S,http://www.alythparishchurch.org.uk,0,1,2004,31/08/2004,,,,,,
194499.88,735950.1324,Ardchattan Church,Argyll & Bute,protestant - reformed,C of S,http://www.ardchattanchurch.org.uk/,0,1,2012,23/01/2012,,,,,,
224591.4195,641343.1729,Ardrossan & Saltcoats Kirkgate Parish Church,North Ayrshire,protestant - reformed,C of S,http://www.kirkgatechurch.org.uk,0,1,,Missing,,,,,,
334226.4363,738132.0391,Auchterhouse Parish Church,Angus,protestant - reformed,C of S,http://www.auchterhouse.com/societies/church.htm,0,1,2007,02/02/2007,,,,,,
231463.6998,653631.6884,Auld Kirk-Kilbirnie,North Ayrshire,protestant - reformed,C of S,,0,1,2011,07/04/2011,,2014,12/03/2014,,,
257682.9494,675060.5074,Baldernock Parish Church,East Dunbartonshire,protestant - reformed,C of S,,0,1,,Missing,,2004,Feb-04,,,
253270,673547,Baljaffray Parish Church,Glasgow,protestant - reformed,C of S,http://www.baljaffraychurch.org.uk/,0,1,2013,21/06/2013,,,,,,
369453.4869,795717.6959,Banchory Ternan West Parish Church,Aberdeenshire,protestant - reformed,C of S,http://www.banchorywestchurch.com/,0,1,2006,03/07/2006,,2011,20/03/2011,,,
324936.5692,672592.4218,Barclay Viewforth Church of Scotland,Edinburgh,protestant - reformed,C of S,www.barclayviewforth.org.uk,0,1,2002,01/06/2002,,2002,12/12/2002,08/09/2011,,
249968.4388,658882.9145,Barrhead Bourock Parish Church,East Renfrewshire,protestant - reformed,C of S,http://www.bourock.org.uk/welcome.html,0,1,2008,05/05/2008,,2008,30/11/2008,,,
254283.5,671902.9,Bearsden Cross Church,Glasgow,protestant - reformed,C of S,http://www.bearsdencross.org/,0,1,2006,26/01/2006,,,,,,
334506.892,858733.323,Bellie & Speymouth Parish Church,Moray,protestant - reformed,C of S,http://www.bellieandspeymouth.org.uk,0,1,2012,05/03/2012,,,,,,
243191.6221,671430.6866,Bishopton Parish Church,Renfrewshire,protestant - reformed,C of S,http://www.bishoptonkirk.org.uk,0,1,2003,17/12/2003,,2007,23/10/2007,,,
289932.8079,676865.3525,Blackbraes and Shieldhill Parish Church,Falkirk,protestant - reformed,C of S,www.bsandm-church.org.uk,0,1,2013,18/04/2013,,,,,,
355371,630143,Bowden and Melrose Parish Church,Scottish Borders,protestant - reformed,C of S,http://bowdenandmelroseparish.org,0,1,2004,30/01/2004,,,,,,
346491.9896,730919.9238,Broughty Ferry New Kirk,Dundee,protestant - reformed,C of S,http://www.broughtynewkirk.com/,0,1,2008,28/01/2008,,2011,10/04/2011,,,
388580.386,819495.8802,Bucksburn Stoneywood Church,Aberdeen City,protestant - reformed,C of S,,0,1,2010,25/06/2010,,2014,10/12/2014,,,
257786.4666,656561.2884,Busby Parish Church,East Renfrewshire,protestant - reformed,C of S,http://www.busbyparishchurch.org.uk/,0,1,2007,26/06/2007,,2011,01/09/2011,,,
277032.9951,663139.7069,Calderbank Parish Church,North Lanarkshire,protestant - reformed,C of S,https://www.facebook.com/calderbankparishchurch,0,1,2009,02/10/2009,,,,,,
334349.6061,972840.0953,Canisbay Parish Church,Highland,protestant - reformed,C of S,http://www.canisbaychurch.org/,0,1,2010,24/05/2010,,,,,,
259911,657482,Carmunnock Parish Church,Glasgow,protestant - reformed,C of S,http://www.carmunnockparishchurch.org.uk/,0,1,2011,11/02/2011,,2012,25/05/2012,,,
320379,671977,Carrick Knowe Parish Church,Edinburgh,protestant - reformed,C of S,,0,1,2015,11/06/2015,,,,,,
259562,659360,Castlemilk Parish Church,Glasgow,protestant - reformed,C of S,http://www.castlemilkparishchurch.btck.co.uk/,0,1,2013,30/10/2013,,,,,,
276165.6171,650130.7689,Chalmers Parish Church,South Lanarkshire,protestant - reformed,C of S,http://www.chalmers-church.webspace.virginmedia.com/,0,1,2014,26/02/2014,,,,,,
220169.0741,659307.1908,"Clark Memorial Church, Largs",North Ayrshire,protestant - reformed,C of S,http://www.clarkmemorial.org.uk,0,1,2011,03/02/2011,,,,,,
258575,661257.5,Clincarthill Church,Glasgow,protestant - reformed,C of S,http://www.clincarthill.org.uk/,0,1,2006,26/06/2006,,2007,29/04/2007,21/11/2011,,
139360,694373,Colonsay and Oronsay Parish Church,Argyll & Bute,protestant - reformed,C of S,,0,1,2015,08/04/2015,,,,,,
319969,672721,Corstorphine Old Parish Church,Edinburgh,protestant - reformed,C of S,http://www.corstorphineoldparish.org.uk/,0,1,2005,01/04/2005,,,,,,
180520,704381,Craignish Parish Church,Argyll & Bute,protestant - reformed,C of S,http://www.netherlornchurches.org.uk/,0,1,2007,10/04/2007,,2008,06/11/2008,,,
286701.5356,721853.2297,Crieff Parish Church,Perth & Kinross,protestant - reformed,C of S,https://www.facebook.com/crieffparishchurch,0,1,2004,21/01/2004,,,,,,
280206.5764,890116.3627,Crossreach-Oversteps Care Home,Highland,protestant - reformed,C of S,http://www.crossreach.org.uk/oversteps,0,1,2011,17/09/2011,,2012,10/10/2012,,,
318296.2942,667648.5313,Currie Kirk,Midlothian,protestant - reformed,C of S,http://www.curriekirk.org,0,1,2009,31/03/2009,,,,,,
351260.8513,684216.4264,Dirleton Kirk,East Lothian,protestant - reformed,C of S,http://www.abbeychurch.co.uk/,0,1,2009,17/03/2009,,,,,,
296411.5205,698022.2763,Dollar Parish Church,Clackmananshire,protestant - reformed,C of S,www.dollarparishchurch.org.uk,0,1,2002,24/01/2002,,2002,09/10/2002,,,
283764.8166,630963.2808,Douglas Valley Church,South Lanarkshire,protestant - reformed,C of S,,0,1,2005,03/08/2005,,2014,29/03/2014,,,
299586.3882,568748.9964,Dumfries Northwest Parish Church,Dumfries and Galloway,protestant - reformed,C of S,http://www.dumfriesnorthwest.org.uk/,0,1,2013,27/11/2013,,,,,,
368173.4713,678624.5339,Dunbar Parish Church,East Lothian,protestant - reformed,C of S,http://www.dunbarparishchurch.org/,0,1,2006,03/05/2006,,2006,11/05/2006,,,
302499,742612,Dunkeld Parish Church (Cathedral),Perth & Kinross,protestant - reformed,C of S,,0,1,2006,12/12/2006,,,,,,
321986.5079,971168.9949,Dunnet Parish Church,Highland,protestant - reformed,C of S,http://www.centralcaithnesschurches.org/index.php?content=dunnet,0,1,2009,15/06/2009,,,,,,
352856.3817,748743.9996,Dunnichen Letham and Kirkden,Angus,protestant - reformed,C of S,,0,1,2006,03/07/2006,,2011,20/03/2011,,,
263561.5634,654582.1026,East Kilbride Old Parish Church,South Lanarkshire,protestant - reformed,C of S,http://www.ekopc.org.uk/,0,1,2008,07/01/2008,,,,,,
324394.398,647208.8171,Eddleston Parish Church,Scottish Borders,protestant - reformed,C of S,,0,1,2006,04/10/2006,,,,,,
288521.2,679780.3,Erskine Church,Falkirk,protestant - reformed,C of S,,0,1,2009,22/06/2009,,,,,,
262298.7874,659293.4729,Fernhill and Cathkin Parish Church,South Lanarkshire,protestant - reformed,C of S,,0,1,2010,22/03/2010,,,,,,
273704.6955,857608.3037,Fortrose and Rosemarkie,Highland,protestant - reformed,C of S,http://www.fortrosemarkiechurchofscotland.com,0,1,2009,30/11/2009,,2013,29/04/2013,,,
231811.0217,638765.0272,Fullarton Parish Church,North Ayrshire,protestant - reformed,C of S,http://www.fullartonchurch.co.uk,0,1,2013,02/09/2013,,,,,,
250034.3651,636749.5192,Galston Parish Church,East Ayrshire,protestant - reformed,C of S,,0,1,2006,Missing,,2006,11/05/2006,,,
252139.1516,697092.5371,Gartmore Parish Church,Stirling,protestant - reformed,C of S,,0,1,2008,07/01/2008,,,,,,
183572.7569,699298.8862,Glassary Kilmartin and Ford Church,Argyll & Bute,protestant - reformed,C of S,,0,1,2010,24/02/2010,,,,,,
216770.4926,727506.8242,Glenorchy Parish Church (Glenorchy + Innishael),Argyll & Bute,protestant - reformed,C of S,www.glenorchyparish.org.uk,0,1,2010,21/07/2010,,,,,,
259241,664002,Gorbals Parish Church,Glasgow,protestant - reformed,C of S,http://www.gorbalschurch.org.uk/,0,1,2009,01/06/2009,,,,,,
242486.7625,637937.3797,Grange Kirk,East Ayrshire,protestant - reformed,C of S,,0,1,2010,30/03/2010,,2011,15/05/2011,,,
371106.4749,646096.076,Greenlaw Church,Scottish Borders,protestant - reformed,C of S,,0,1,2004,03/02/2004,,2007,30/10/2007,,,
227161.7576,676191.8138,Greenock Westburn,Inverclyde,protestant - reformed,C of S,http://www.greenockwestburn.org.uk,0,1,2006,31/10/2006,,2010,17/03/2010,,,
444662.7105,1138722.148,Gulberwick Church,Shetland,protestant - reformed,C of S,http://www.shetland-communities.org.uk/subsites/lbpc/,0,1,,Missing,,,,,,
271071.2806,652440.3321,Hamilton South Church,South Lanarkshire,protestant - reformed,C of S,https://www.facebook.com/southchurch.hamilton,0,1,2008,02/04/2008,,2014,15/05/2014,,,
392681.2755,805064.5665,Holburn West Church,Aberdeen City,protestant - reformed,C of S,http://www.holburnwestchurch.org.uk/,0,1,2005,08/08/2005,,,,,,
350945.3131,716649.9127,"Holy Trinity Church, St Andrews",Fife,protestant - reformed,C of S,http://www.holyt.co.uk/,0,1,2009,n/a,,2009,22/06/2009,,,
241016.0562,667062.5117,Houston & Killellan Kirk,Renfrewshire,protestant - reformed,C of S,http://www.houstonkirk.org,0,1,2008,14/08/2008,,,,,,
330214.665,710119.2145,Howe of Fife Parish Church,Fife,protestant - reformed,C of S,http://www.howekirk.co.uk/,0,1,2014,27/08/2014,,,,,,
327992,728715,Inchture and Kinnaird Church,Perth & Kinross,protestant - reformed,C of S,http://www.carsechurches.com/page19.htm,0,1,2015,04/02/2015,,,,,,
334647.1597,730366.2691,Invergowrie Parish Church,Perth & Kinross,protestant - reformed,C of S,http://www.invergowrie.f9.co.uk,0,1,2009,20/04/2009,,,,,,
324795,676048,Inverleith St Serf’s Parish Church,Edinburgh,protestant - reformed,C of S,http://inverleithsaintserfs.org.uk/,0,1,2005,03/02/2005,,2006,01/10/2006,,,
266077,845736,Inverness Trinity Church,Highland,protestant - reformed,C of S,,0,1,2015,13/05/2015,,,,,,
254397,668236,Jordanhill Parish Church,Glasgow,protestant - reformed,C of S,http://www.jordanhillparishchurch.org.uk/,0,1,2008,13/10/2008,,2009,15/11/2009,,,
372575.1031,634189.2038,Kelso North & Ednam Parish Church,Scottish Borders,protestant - reformed,C of S,www.kelsonorthandednam.org.uk,0,1,2010,20/04/2010,,,,,,
276783.3162,674697.2278,Kildrum Parish Church-Cumbernauld,North Lanarkshire,protestant - reformed,C of S,http://ccosfive.wordpress.com/kildrum/,0,1,2006,05/06/2006,,,,,,
