ref_no|name|pointx_class|feature_easting|feature_northing|pos_accuracy|uprn|topo_toid|topo_toid_version|itn_easting|itn_northing|itn_toid|itn_toid_version|distance|address_detail|street_name|locality|geographic_county|postcode|verified_address|admin_boundary|telephone_number|url|brand|qualifier_type|qualifier_data|provenance|supply_date
17126304|Struy Church|06340459|240134|840213|1||0001000038784188|5|240113.3|840219.9|4000000003512248|8|21.8||||Highland|IV4|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17131322|Peaton Church|06340459|221514|686428|1||0001000039811167|4|221502.3|686424|4000000005421971|3|12.3||||Strathclyde|G84|N|Argyll and Bute||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17125696|Syre Church|06340459|269367|943930|1||0001000038709444|3|269369.3|943917.5|4000000003338584|8|12.7||||Highland|KW11|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126280|Marydale Church|06340459|234125|831737|1||0001000038782639|4|234087.6|831659.7|4000000003523212|5|85.8||||Highland|IV4|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17129497|Strathmiglo Parish Church|06340459|321659|710239|1||0001000039414445|5|321642.5|710227.8|4000000004470175|10|19.9||||Fife|KY14|N|Fife||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17133506|Good Shepherd Church|06340459|263244|662752|1||1000000314101685|6|263220.3|662845|5000005111790731|1|95.9||||Strathclyde|G32|N|Glasgow City||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17129969|Queen Street Parish Church|06340459|345864|728585|1||0001000039592249|6|345845.6|728594.3|4000000004496267|6|20.6||||Fife|DD6|N|Fife||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17126798|Boat of Garten and Kincardine Church|06340459|293839|815523|1||0001000038892336|4|293864.7|815507.8|4000000003516646|7|29.9||||Highland|PH22|N|Highland||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17131111|St Cuthbert's and South Beach Parish Church|06340459|224381|641790|1||0001000039824969|3|224408|641793|4000000005075059|5|27.2||||Strathclyde|KA21|N|North Ayrshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17129288|St James' R C Church|06340459|311877|702548|1||0001000039376283|6|311900|702547|4000000004467042|5|23||||Tayside|KY13|N|Perth and Kinross||||Religion|Roman Catholic (Christian)|Ordnance Survey|2015-12-01
17131909|Lamloch Church|06340459|247913|605866|1||0001000040130450|4|247913|605843|5000005122379129|1|23||||Strathclyde|KA6|N|East Ayrshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17125493|Rusness Church|06340459|373887|1044037|1||0001000038683188|4|373887.5|1044006.4|4000000003269767|2|30.6||||Orkney|KW17|N|Orkney Islands||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17136398|St Margaret's Garrison Church|06340459|322323|668876|1||1000000177591394|4|322341.2|668925|4000000006249450|5|52.2||||Lothian|EH13|N|City of Edinburgh||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17132790|Church of the Good Shepherd|06340459|252385|663966|1||0001000040228903|4|252384.5|663979.5|4000000005236957|5|13.5||||Strathclyde|G52|N|Glasgow City||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
17127417|Strathbogie Church|06340459|353119|839894|1||0001000038993617|3|353100|839894|4000000003787320|7|19||||Grampian|AB54|N|Aberdeenshire||||Religion|Not Identified (Christian)|Ordnance Survey|2015-12-01
