CODE,Scottish Parliamentary Constituency Name,Postcode Population,Postcodes,Output area population,Output areas,OA Population minus PC Population,"% difference, OA Population - PC Population",Data zone Population,Data zones,DZ Population minus PC Population,"% difference, DZ Population - PC Population"
S16000074,Aberdeen Central,"83,618","2,071","83,557",778,-61,-0.07,"83,180",100,-438,-0.5
S16000075,Aberdeen Donside,"78,492","1,853","78,497",683,5,0.01,"78,359",105,-133,-0.2
S16000076,Aberdeen South and North Kincardine,"74,686","1,933","74,663",637,-23,-0.03,"74,947",95,261,0.3
S16000077,Aberdeenshire East,"77,707","2,914","77,427",624,-280,-0.36,"78,196",107,489,0.6
S16000078,Aberdeenshire West,"73,159","2,866","73,253",575,94,0.13,"73,383",101,224,0.3
S16000079,Airdrie and Shotts,"70,674","1,534","69,935",578,-739,-1.05,"69,863",95,-811,-1.1
S16000080,Almond Valley,"85,232","1,603","85,165",652,-67,-0.08,"85,219",114,-13,0
S16000081,Angus North and Mearns,"70,311","2,197","70,567",610,256,0.36,"70,990",93,679,1
S16000082,Angus South,"72,629","2,383","72,452",619,-177,-0.24,"72,260",98,-369,-0.5
S16000083,Argyll and Bute,"62,449","2,124","62,306",582,-143,-0.23,"62,449",88,0,0
S16000084,Ayr,"76,922","2,015","76,846",686,-76,-0.1,"76,602",105,-320,-0.4
S16000085,Banffshire and Buchan Coast,"75,850","2,778","76,084",644,234,0.31,"75,185",99,-665,-0.9
S16000086,"Caithness, Sutherland and Ross","71,863","2,506","71,882",622,19,0.03,"71,296",100,-567,-0.8
S16000087,"Carrick, Cumnock and Doon Valley","76,411","2,603","76,445",676,34,0.04,"76,689",103,278,0.4
S16000088,Clackmannanshire and Dunblane,"68,014","1,692","67,944",548,-70,-0.1,"68,022",91,8,0
S16000089,Clydebank and Milngavie,"71,354","1,838","71,768",642,414,0.58,"71,644",90,290,0.4
S16000090,Clydesdale,"72,935","2,099","72,866",621,-69,-0.09,"72,519",99,-416,-0.6
S16000091,Coatbridge and Chryston,"70,092","1,581","69,965",584,-127,-0.18,"70,750",91,658,0.9
